Pick,CDF-fitted dark time (s),number of binding sites,x,y,convex_hull
220,170.28541698031952,1.0,260.9722900390625,165.85708618164062,0.06852895021438599
221,101.79762271856774,2.0,254.90501403808594,174.46295166015625,0.273296058177948
222,141.57489364836965,2.0,266.4064636230469,174.11575317382812,0.18605244159698486
223,73.63084225391256,3.0,250.07315063476562,176.59300231933594,0.31246188282966614
224,207.36885945335018,1.0,276.9632263183594,181.13450622558594,0.21469822525978088
225,124.14824536968257,2.0,254.61578369140625,185.43800354003906,0.14571495354175568
227,96.65608072663301,3.0,263.9570617675781,166.1012420654297,0.22464264929294586
228,105.93823845577892,2.0,268.11395263671875,178.08184814453125,0.15055574476718903
229,163.12776462123193,2.0,268.0013122558594,170.30075073242188,0.07879867404699326
230,254.4884395493522,1.0,268.5189514160156,171.3799285888672,0.15677110850811005
232,119.80630966366336,2.0,276.8833312988281,178.54444885253906,0.07182661443948746
233,196.1298568751035,1.0,257.3254089355469,186.4934539794922,0.10230196267366409
234,95.77225856457352,3.0,269.95281982421875,178.9383544921875,0.17511466145515442
237,141.7660113019759,2.0,277.97344970703125,181.4424591064453,0.14542680978775024
238,240.72979903189741,1.0,261.7962341308594,167.599609375,0.10743328928947449
240,126.07638982550306,2.0,261.56866455078125,173.10110473632812,0.1419028490781784
241,220.71777817189323,1.0,252.1103515625,175.98033142089844,0.07315508276224136
242,142.57501226741945,2.0,269.3175964355469,187.3564910888672,0.12678782641887665
244,115.42116371470246,2.0,264.34808349609375,163.7069854736328,0.13956521451473236
246,383.1746445833013,1.0,250.49069213867188,179.54144287109375,0.06615608930587769
247,329.79413705987935,1.0,267.5121154785156,191.83055114746094,0.09052988886833191
248,226.9870040726748,1.0,260.00140380859375,173.2525634765625,0.056447550654411316
249,87.33368619029206,3.0,263.84747314453125,189.08316040039062,0.20164771378040314
250,93.08623126864443,3.0,273.6118469238281,172.5342254638672,0.2739483714103699
255,314.0450917320438,1.0,269.13348388671875,166.76344299316406,0.06514500081539154
257,156.47678476867685,2.0,261.2008056640625,168.9187469482422,0.06007177755236626
258,241.1300580864669,1.0,260.75445556640625,173.73568725585938,0.04871772974729538
262,201.7514453480911,1.0,262.9535827636719,187.50473022460938,0.07825839519500732
263,100.62728132347745,2.0,252.9365997314453,185.9466094970703,0.21634919941425323
264,83.30335737951056,3.0,250.93704223632812,174.27859497070312,0.13135994970798492
265,197.68568215443844,1.0,277.37615966796875,177.88613891601562,0.1075545996427536
267,244.50043654426264,1.0,274.8111267089844,176.65586853027344,0.07184220850467682
268,144.61565808091817,2.0,263.1072082519531,163.28024291992188,0.12557777762413025
269,183.5869460502478,1.0,268.71014404296875,175.78977966308594,0.15033578872680664
270,259.9293498673264,1.0,259.26025390625,178.2537841796875,0.05188415199518204
271,272.1152991193598,1.0,257.11077880859375,178.3687744140625,0.06345678865909576
272,214.4780341312983,1.0,251.46400451660156,177.84820556640625,0.07615058124065399
274,324.2844819461662,1.0,254.81236267089844,175.59814453125,0.049534980207681656
275,199.84911440952766,1.0,254.18881225585938,188.33126831054688,0.08053404837846756
277,276.9803862703679,1.0,264.688720703125,167.73629760742188,0.05884667485952377
279,102.75161329730683,2.0,265.41180419921875,179.69322204589844,0.18731047213077545
280,390.3530257538304,1.0,269.8051452636719,174.59750366210938,0.03800089284777641
282,139.24563475908178,2.0,274.12359619140625,168.51576232910156,0.05799894779920578
283,408.00206813023493,1.0,269.29815673828125,165.46206665039062,0.024464063346385956
284,76.98428244675279,3.0,272.025146484375,171.10350036621094,0.1416456252336502
285,75.64862036566007,3.0,274.8266296386719,187.990234375,0.32032009959220886
286,300.05820290732436,1.0,261.4609680175781,183.37911987304688,0.054977964609861374
287,99.90804346719484,2.0,265.3559265136719,190.3664093017578,0.2692822217941284
288,205.04899580846757,1.0,271.3537902832031,177.9110870361328,0.07022371888160706
289,211.0681434350566,1.0,256.25738525390625,172.94300842285156,0.08837126940488815
291,189.67943234447125,1.0,253.69715881347656,177.50726318359375,0.04624693840742111
293,95.5884150702878,3.0,269.9989318847656,173.56874084472656,0.2563595473766327
294,260.1725314018014,1.0,258.1209411621094,190.18666076660156,0.12297171354293823
297,101.90308820111919,2.0,254.4263916015625,187.61929321289062,0.24539396166801453
299,243.69234645069946,1.0,264.96429443359375,188.51123046875,0.0769067257642746
300,110.28881894236655,2.0,271.0260009765625,184.841796875,0.13026171922683716
301,171.13967640339675,1.0,251.3140106201172,173.968017578125,0.08473406732082367
303,352.7468257310117,1.0,266.30059814453125,169.9394073486328,0.039545733481645584
305,410.9805930400686,1.0,255.59317016601562,178.81491088867188,0.055730078369379044
306,198.89910511732288,1.0,267.1360168457031,184.6322021484375,0.1234775185585022
308,331.138120550585,1.0,253.10386657714844,174.051025390625,0.04723881185054779
309,693.6604746594032,0.0,274.51251220703125,172.53260803222656,0.029316531494259834
311,189.58777018849955,1.0,259.9364013671875,187.83114624023438,0.08180633187294006
312,489.90800255886376,1.0,269.99981689453125,189.65171813964844,0.056506551802158356
313,129.6373138785354,2.0,252.25167846679688,170.39195251464844,0.24332478642463684
314,118.33340453217107,2.0,275.07513427734375,169.47642517089844,0.2128097265958786
315,87.28153820071779,3.0,261.69476318359375,168.32704162597656,0.1589120477437973
317,253.85688909283272,1.0,273.7447814941406,181.61460876464844,0.060878686606884
318,162.98180091535866,2.0,255.72268676757812,170.04409790039062,0.06576363742351532
319,112.38143161506633,2.0,265.7391052246094,182.3745880126953,0.19159415364265442
322,264.5201474892392,1.0,258.9730529785156,175.43438720703125,0.07107685506343842
323,156.57143415365016,2.0,256.913818359375,168.99732971191406,0.15297479927539825
325,222.68381966612807,1.0,250.05905151367188,174.9800567626953,0.07945376634597778
328,324.85768043402993,1.0,255.4825439453125,169.39515686035156,0.06848026812076569
329,163.79801564993068,2.0,254.68812561035156,181.1446075439453,0.16133014857769012
330,174.3527602053417,1.0,251.30029296875,173.26515197753906,0.10487815737724304
333,109.01015272053144,2.0,253.08729553222656,181.00294494628906,0.22664858400821686
334,199.76315806839443,1.0,259.94964599609375,190.32135009765625,0.15264827013015747
335,323.3796478663287,1.0,269.9597473144531,165.0503387451172,0.03885249048471451
336,268.76604552851467,1.0,253.0746307373047,179.4654541015625,0.0835987776517868
337,142.35858761668462,2.0,255.63336181640625,171.73391723632812,0.08026435971260071
339,226.90981189537584,1.0,265.4564208984375,177.44483947753906,0.09978216141462326
340,129.74948017413922,2.0,270.4682312011719,165.6029052734375,0.23742316663265228
343,140.2427403788878,2.0,260.0137939453125,188.3721466064453,0.10188036412000656
344,209.96490980151088,1.0,266.2873840332031,179.43453979492188,0.11646098643541336
345,236.64894570048577,1.0,256.72027587890625,176.39637756347656,0.09568169713020325
347,207.68756563708953,1.0,253.04241943359375,174.47845458984375,0.1212814599275589
348,291.1032634147386,1.0,265.33538818359375,175.4355926513672,0.06254290789365768
349,300.92808586177455,1.0,258.711181640625,168.5037078857422,0.05035320296883583
350,240.46326904412618,1.0,263.0607604980469,188.89353942871094,0.06796743720769882
351,135.43341970201575,2.0,276.5179138183594,183.46803283691406,0.13955192267894745
352,166.8301698619873,1.0,253.1032257080078,186.43666076660156,0.1949608474969864
353,100.90727348402822,2.0,258.0975341796875,181.90103149414062,0.11627072840929031
354,361.76405811029457,1.0,274.9629821777344,173.74935913085938,0.11578144133090973
357,207.94101524821605,1.0,277.8614501953125,174.27175903320312,0.102831169962883
358,222.72919950195413,1.0,271.24383544921875,183.7807159423828,0.06963895261287689
359,204.9552537606504,1.0,271.3282775878906,169.42161560058594,0.05521966516971588
361,214.11910982043997,1.0,260.87823486328125,166.2164306640625,0.06363707780838013
362,75.97988699485522,3.0,251.504638671875,171.6819610595703,0.4451044499874115
363,249.21508779370515,1.0,251.70762634277344,176.19052124023438,0.06345417350530624
365,154.75873674174684,2.0,270.7784118652344,175.6338653564453,0.06778515875339508
366,224.72304792297422,1.0,272.4869689941406,184.6386260986328,0.06661207973957062
368,213.5211244338591,1.0,273.6742248535156,178.4974365234375,0.10141516476869583
369,252.18900911007964,1.0,259.43072509765625,171.9905548095703,0.0620107538998127
370,95.99256809036672,3.0,252.73983764648438,172.87704467773438,0.18393440544605255
374,239.72162260225178,1.0,250.84500122070312,181.47036743164062,0.04718868434429169
375,130.10363714366488,2.0,277.1431579589844,176.1917266845703,0.18136030435562134
376,185.18847808255543,1.0,254.398193359375,173.98257446289062,0.10365765541791916
379,318.9489206741713,1.0,251.6566162109375,173.76052856445312,0.041490569710731506
381,218.59868036090106,1.0,268.0899353027344,182.71514892578125,0.08372098207473755
382,368.80709894693956,1.0,263.9920654296875,178.89984130859375,0.03503581881523132
383,253.31036977314048,1.0,271.3260192871094,166.29898071289062,0.05772392824292183
384,307.5972813842815,1.0,273.38665771484375,180.74005126953125,0.043380770832300186
385,145.21729236735362,2.0,263.8822326660156,186.9190216064453,0.1063561961054802
387,97.19276348101577,3.0,271.4394836425781,186.84730529785156,0.15887825191020966
390,248.7840582339548,1.0,258.550537109375,173.52163696289062,0.05990849435329437
391,162.88251567536744,2.0,268.4315490722656,179.56637573242188,0.06396288424730301
392,132.24290813417588,2.0,264.115234375,185.73179626464844,0.09000575542449951
394,230.88873220264244,1.0,267.0529479980469,183.64932250976562,0.05684077367186546
395,184.99727019767127,1.0,270.3460693359375,185.79083251953125,0.11032023280858994
396,164.701295389888,2.0,264.3945007324219,178.94024658203125,0.07136653363704681
397,369.9188184035217,1.0,263.54571533203125,176.87600708007812,0.03582468256354332
399,83.84593429853544,3.0,261.7616271972656,191.0977020263672,0.32609936594963074
401,331.18253928893625,1.0,251.4132537841797,171.09739685058594,0.0833495557308197
403,275.6013192081516,1.0,265.19232177734375,182.07806396484375,0.04221748933196068
404,266.53468235866484,1.0,250.61911010742188,180.6948699951172,0.03791055828332901
405,400.10411388201027,1.0,256.0168151855469,173.33432006835938,0.017888076603412628
406,139.22781948648668,2.0,269.4507141113281,171.5681915283203,0.33951815962791443
407,341.2324248915632,1.0,271.908447265625,176.039794921875,0.06457225233316422
410,217.5303706964594,1.0,265.1177673339844,174.65997314453125,0.07252747565507889
411,191.28252436445968,1.0,255.4825897216797,189.03274536132812,0.07700903713703156
413,220.92960524205438,1.0,264.50323486328125,179.8837432861328,0.08471555262804031
415,201.44664436292604,1.0,272.985107421875,176.95875549316406,0.029605770483613014
417,556.432199509063,0.0,258.3966979980469,190.0545654296875,0.048519447445869446
419,160.74902615840227,2.0,262.7654724121094,165.0611114501953,0.0794864073395729
420,143.8188021718872,2.0,266.97174072265625,179.82850646972656,0.06876538693904877
423,138.2569861495116,2.0,254.01437377929688,174.3081817626953,0.07806640863418579
424,384.8040416080821,1.0,256.26690673828125,187.26556396484375,0.058615315705537796
425,310.6568224817504,1.0,264.0976867675781,167.4053497314453,0.03373275697231293
426,396.12283054757177,1.0,253.5082550048828,171.9913787841797,0.0496014729142189
429,214.071725464319,1.0,255.1699676513672,175.00079345703125,0.043301209807395935
430,305.44355012297683,1.0,271.4322204589844,187.58157348632812,0.06858935207128525
432,221.46457397517085,1.0,257.07672119140625,166.25689697265625,0.0790698379278183
434,368.0234304013793,1.0,250.71163940429688,174.704833984375,0.05919373407959938
435,276.39313278554636,1.0,269.0169677734375,191.49737548828125,0.1027713268995285
437,200.56066787737646,1.0,256.0308837890625,169.3693084716797,0.07641757279634476
441,167.29294336792236,1.0,267.3543701171875,170.83168029785156,0.0875680074095726
443,414.95803723048084,1.0,266.58831787109375,178.10348510742188,0.045457929372787476
444,280.1806066392625,1.0,273.1790466308594,175.62188720703125,0.03532778471708298
446,143.11398146306482,2.0,278.7296142578125,176.9510498046875,0.06699074059724808
447,320.7410940854776,1.0,270.5350036621094,172.24447631835938,0.04865840822458267
450,264.1959432361596,1.0,272.19927978515625,185.15765380859375,0.06174536049365997
451,202.9077619583208,1.0,276.76422119140625,177.50372314453125,0.043620090931653976
452,144.3185803974864,2.0,260.6181945800781,186.86300659179688,0.15095891058444977
453,192.89357100483824,1.0,267.2283935546875,184.1405487060547,0.032942790538072586
454,120.66480590038086,2.0,275.4411315917969,180.09353637695312,0.03682941943407059
456,265.0540064200174,1.0,257.9613342285156,180.64561462402344,0.038080524653196335
458,151.702035909199,2.0,256.2977294921875,177.4173583984375,0.0850062221288681
459,355.20516104653643,1.0,265.21697998046875,163.9450225830078,0.046711910516023636
460,154.72953175860323,2.0,267.7101135253906,165.92388916015625,0.05454585701227188
461,91.66143765792293,3.0,255.4912567138672,177.14715576171875,0.21607325971126556
462,174.87021381018056,1.0,266.5768127441406,165.13731384277344,0.06297403573989868
463,249.70512376734834,1.0,251.74632263183594,183.7808837890625,0.04836857691407204
466,156.85245310537172,2.0,254.46591186523438,186.9940948486328,0.0831647589802742
467,209.53255911136077,1.0,259.3320617675781,169.1444854736328,0.07516534626483917
468,210.7551185214754,1.0,262.2696533203125,186.146240234375,0.034852173179388046
470,426.15004466467747,1.0,251.46702575683594,181.54232788085938,0.03879769518971443
471,196.8932705928448,1.0,255.02186584472656,186.25396728515625,0.11714687943458557
472,449.8852430788145,1.0,261.1687316894531,165.1088409423828,0.04167292267084122
475,154.63537703700317,2.0,268.8653564453125,182.0614013671875,0.1176394447684288
477,134.01559179960176,2.0,254.42111206054688,184.99624633789062,0.13150693476200104
481,197.33218535229125,1.0,273.6060485839844,170.1871795654297,0.06421155482530594
482,505.1275190240018,0.0,255.5435333251953,170.91200256347656,0.029876306653022766
483,409.2898103473046,1.0,266.072265625,191.07411193847656,0.073246531188488
486,183.18820343353127,1.0,273.20245361328125,178.33169555664062,0.07356758415699005
487,204.2175427838222,1.0,265.07861328125,172.15850830078125,0.10447737574577332
493,219.77738024989313,1.0,255.97384643554688,187.86941528320312,0.07987774908542633
495,141.6343620578921,2.0,257.8508605957031,183.46261596679688,0.05042866989970207
497,303.4287358694334,1.0,254.14573669433594,184.34596252441406,0.06326739490032196
498,188.50327620382308,1.0,272.27685546875,165.36410522460938,0.0973799079656601
499,332.1513503902334,1.0,258.1495361328125,184.1893768310547,0.06468090415000916
503,246.14955593445066,1.0,268.11669921875,181.59083557128906,0.058934614062309265
504,347.73753782859035,1.0,268.1705017089844,175.4007568359375,0.06439482420682907
505,243.0219032065296,1.0,262.6275329589844,169.48199462890625,0.057899877429008484
506,197.20466148150913,1.0,265.30242919921875,182.98953247070312,0.2120991200208664
507,254.99055120135068,1.0,270.8533935546875,176.67379760742188,0.03925551474094391
509,159.7797449571216,2.0,271.006591796875,181.45657348632812,0.05113333463668823
